visit_id,site_nr,sitename,element_type,visited,result,element_text,element_css,iframe_css,location_x,location_y,text_color,background_color,width,height,font_size
537868800179,1107,nu.nl,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
493526822342,1153,telegraaf.nl,0,1,Normal visit,"Cookies en dataverzameling op De Telegraaf  Mediahuis (wij) en onze partners gebruiken technologieën zoals cookies om (persoons)gegevens - online identificatienummers (bijv. IP-adres, accountnummer), niet-precieze locatie en informatie over je browser, besturingssysteem, apparaat en je gebruik van dit domein – te bewaren en gebruiken voor de volgende doeleinden: Advertentie- en contentmeting, inzichten in het publiek en productontwikkeling; Gepersonaliseerde content; Gepersonaliseerde advertenties; Sociale media functionaliteit. Wanneer je bent ingelogd, koppelen we deze gegevens aan je accountgegevens voor deze doeleinden. Ook delen wij deze gegevens met gelieerde partijen binnen de Mediahuis-groep, om gezamenlijke groepsprofielen op te stellen. Door op ""Akkoord"" te klikken, ga je hiermee akkoord. Wil je niet alle doeleinden toestaan, klik dan op “Stel voorkeuren in”. Je kan deze op elk moment aanpassen via je privacy-instellingen. Wij zullen jouw voorkeuren – voor welke doeleinden en partners je toestem",,,703,59,"rgba(0, 0, 0, 1)","rgba(0, 0, 0, 0)",498,815.656,815.656
493526822342,1153,telegraaf.nl,1,1,Normal visit,Akkoord,button.didomi-components-button.didomi-button.didomi-dismiss-button.didomi-components-button--color.didomi-button-highlight.highlight-button,,957,834,"rgba(255, 255, 255, 1)","rgba(47, 81, 149, 1)",200,40,40
638474461612,1153,telegraaf.nl,4,1,Normal visit,Stel voorkeuren in,button.didomi-components-button.didomi-button.didomi-learn-more-button.didomi-button-standard.standard-button,,747,834,"rgba(68, 68, 68, 1)","rgba(238, 238, 238, 1)",200,40,40
882573006747,1164,google.nl,0,1,Normal visit,"NL Inloggen Voordat je verdergaat naar Google We gebruiken cookies en gegevens voor het volgende: Google-services leveren en onderhouden Uitval bijhouden en bescherming bieden tegen spam, fraude en misbruik Doelgroepbetrokkenheid en sitestatistieken meten om inzicht te krijgen in hoe onze services worden gebruikt en de kwaliteit van die services te verbeteren Als je Alles accepteren kiest, gebruiken we cookies en gegevens ook voor het volgende: Nieuwe services ontwikkelen en verbeteren Advertenties laten zien en de effectiviteit ervan meten Gepersonaliseerde content laten zien (afhankelijk van je instellingen) Gepersonaliseerde advertenties laten zien (afhankelijk van je instellingen) Als je Alles afwijzen kiest, gebruiken we cookies niet voor deze aanvullende doeleinden. Niet-gepersonaliseerde content wordt beïnvloed door factoren zoals de content die je op dat moment bekijkt, activiteit in je actieve zoeksessie en je locatie. Niet-gepersonaliseerde advertenties worden beïnvloed door de content die je op",,,552,36,"rgba(31, 31, 31, 1)","rgba(0, 0, 0, 0)",800,848,848
882573006747,1164,google.nl,1,1,Normal visit,Alles accepteren,button.tHlp8d,,943,740,"rgba(31, 31, 31, 1)","rgba(0, 0, 0, 0)",249.516,48,48
288583145248,1164,google.nl,2,1,Normal visit,Alles afwijzen,button.tHlp8d,,712,740,"rgba(31, 31, 31, 1)","rgba(0, 0, 0, 0)",230.828,48,48
320482204360,1164,google.nl,3,1,Normal visit,Meer opties,button.tHlp8d,,907,788,"rgba(31, 31, 31, 1)","rgba(0, 0, 0, 0)",89.1562,48,48
465083364731,1165,ad.nl,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
705377119581,1262,marktplaats.nl,0,1,Normal visit,"Mogen we cookies gebruiken? Om Marktplaats beter voor jou te laten werken, het gebruik van onze app te kunnen analyseren en jou relevante advertenties te kunnen tonen en jou ook buiten onze app te kunnen bereiken, maken wij gebruik van onder andere cookies en gepseudonimiseerde gebruikersdata. Daarnaast maken wij en onze 241 partners gebruik van cookies en vergelijkbare technieken om gepersonaliseerde advertenties en content te leveren, advertentie- en contentmetingen te kunnen doen, doelgroepenonderzoek uit te voeren en diensten te ontwikkelen, informatieve apparaatkenmerken te gebruiken en je precieze geolocatie te bepalen.  Door op “Accepteren” te klikken ga je hiermee akkoord voor onze website. Weigeren kan door op onderstaande link te klikken. Je kunt je toestemming later weer intrekken of wijzigen via de app instellingen.  Meer weten? Lees onze FAQ, cookiebeleid en onze privacyverklaring.  Doorgaan zonder te accepteren Instellingen Accepteren",,iframe#sp_message_iframe_1278200,0,0,"rgba(0, 0, 0, 1)","rgba(0, 0, 0, 0)",1904,933,933
